date,donald_trump,hillary_clinton,carly_fiorina,ben_carson,jeb_bush,bernie_sanders,ted_cruz
2015-09-25 22:00:00,334,66,31,73,49,35,36
2015-09-26 09:00:00,1012,224,158,196,184,110,162
2015-09-26 10:00:00,1340,337,208,230,232,146,217
2015-09-26 17:00:00,1749,438,231,273,270,198,260
2015-09-26 18:00:00,2911,739,313,375,373,335,388
2015-09-27 05:00:00,4500,1064,574,527,526,582,793
2015-09-27 06:00:00,5398,1361,685,620,624,735,922
2015-09-27 07:00:00,5546,1402,699,635,640,763,957
2015-09-27 15:00:00,6504,1907,950,950,768,998,1168
2015-09-27 16:00:00,6905,2035,1056,1065,805,1115,1206
2015-09-27 18:00:00,9056,2733,1897,1816,1028,1491,1481
2015-09-27 19:00:00,12784,4013,2594,2707,1685,2146,1985
2015-09-27 20:00:00,15632,4562,3009,3222,2131,2650,2261
2015-09-27 21:00:00,16442,4822,3192,3380,2279,2748,2358
2015-09-27 22:00:00,19344,5391,4235,3980,2621,3188,2802
2015-09-27 23:00:00,19730,5480,4364,4067,2663,3286,2892
2015-09-28 00:00:00,26420,6227,5398,4579,3110,3902,3455
2015-09-28 01:00:00,31040,6962,6291,4959,3463,4505,3924
2015-09-28 02:00:00,34615,7520,6747,5302,3763,4886,4248
2015-09-28 04:00:00,35558,7682,6874,5432,3832,5172,4331
2015-09-28 05:00:00,43274,8066,7284,5657,4063,5640,4762
2015-09-28 07:00:00,43921,8428,7519,5743,4187,5732,4855
2015-09-28 08:00:00,50362,8910,7928,5844,4356,5870,4967
2015-09-28 09:00:00,51438,9387,8155,6081,4516,6039,5119
2015-09-28 10:00:00,51699,9440,8196,6104,4551,6072,5153
2015-09-28 17:00:00,54439,10175,8907,6526,5112,6490,5463
2015-09-28 18:00:00,57956,11424,9773,7097,5622,7173,5855
2015-09-29 03:00:00,59461,11721,10040,7364,5787,7443,6409
2015-09-29 04:00:00,59498,11733,10046,7372,5795,7446,6422
2015-09-29 05:00:00,60062,11924,10147,7452,5913,7531,6510
2015-09-29 06:00:00,60416,12038,10200,7516,5998,7620,6582
2015-09-29 08:00:00,61803,12043,10219,7518,5999,7625,6584
2015-09-30 09:00:00,62391,12212,10348,7831,6102,7742,6721
2015-09-30 10:00:00,63686,12640,10685,8143,6241,7889,6949
2015-09-30 11:00:00,65436,13372,11000,8677,6401,8110,7373
2015-09-30 12:00:00,65492,13387,11016,8689,6408,8116,7390
2015-09-30 16:00:00,67656,14116,11268,8987,7392,8378,7693
2015-09-30 17:00:00,68907,14611,11513,9150,7652,8603,7949
2015-09-30 18:00:00,69678,14752,11615,9254,7847,8686,8059
2015-09-30 19:00:00,72176,15469,11941,9997,8427,9114,8514
2015-09-30 20:00:00,74142,15943,12057,10223,8587,9333,8735
2015-09-30 21:00:00,77003,17829,12339,10826,9344,10092,9192
2015-09-30 22:00:00,77612,18246,12412,10993,9425,10281,9268
