keyword,count
donald trump ,70145
hillary clinton ,17479
carly fiorina ,11962
ben carson ,10384
bernie sanders ,9770
jeb bush ,9052
ted cruz ,8864
marco rubio ,4886
elizabeth warren ,4801
rand paul ,2688
joe biden ,2144
mitt romney ,965
bobby jindal ,670
mike huckabee ,660
al gore ,608
rick santorum ,584
john kasich ,569
chris christie ,411
paul ryan ,366
peter king ,346
lindsey graham ,234
lawrence lessig ,181
andrew cuomo ,138
george pataki ,104
dennis kucinich ,58
lincoln chafee ,37
jill stein ,34
jim webb ,26
jim gilmore ,23
kelly ayotte ,12
nikki haley ,10
mike pence ,9
brian sandoval ,6
susana martinez ,4
