keyword,count
donald trump ,51227
hillary clinton ,11953
carly fiorina ,8479
ben carson ,8107
jeb bush ,6808
bernie sanders ,6473
ted cruz ,5362
elizabeth warren ,4036
marco rubio ,3818
rand paul ,2159
joe biden ,1854
mitt romney ,866
mike huckabee ,589
bobby jindal ,577
al gore ,526
john kasich ,490
rick santorum ,439
peter king ,330
paul ryan ,330
chris christie ,310
lindsey graham ,204
lawrence lessig ,152
andrew cuomo ,117
george pataki ,88
jill stein ,26
dennis kucinich ,23
jim gilmore ,23
jim webb ,23
lincoln chafee ,22
kelly ayotte ,12
nikki haley ,10
mike pence ,9
brian sandoval ,5
susana martinez ,4
